fecha,pais,id_campaña,canal,gasto
2025-01-01,MEXICO,ORGANIC_MEXICO,ORGANIC,2446.25
2025-01-01,MEXICO,PAID_SEARCH_MEXICO,PAID_SEARCH,2704.34
2025-01-01,MEXICO,SOCIAL_MEXICO,SOCIAL,2045.01
2025-01-01,COLOMBIA,ORGANIC_COLOMBIA,ORGANIC,2597.21
2025-01-01,COLOMBIA,PAID_SEARCH_COLOMBIA,PAID_SEARCH,1771.4
2025-01-01,COLOMBIA,SOCIAL_COLOMBIA,SOCIAL,833.38
2025-01-01,ARGENTINA,ORGANIC_ARGENTINA,ORGANIC,1365.62
2025-01-01,ARGENTINA,PAID_SEARCH_ARGENTINA,PAID_SEARCH,1282.65
2025-01-01,ARGENTINA,SOCIAL_ARGENTINA,SOCIAL,1534.69
2025-01-02,MEXICO,ORGANIC_MEXICO,ORGANIC,2537.38
2025-01-02,MEXICO,PAID_SEARCH_MEXICO,PAID_SEARCH,1689.07
2025-01-02,MEXICO,SOCIAL_MEXICO,SOCIAL,2413.74
2025-01-02,COLOMBIA,ORGANIC_COLOMBIA,ORGANIC,1020.04
2025-01-02,COLOMBIA,PAID_SEARCH_COLOMBIA,PAID_SEARCH,1573.18
2025-01-02,COLOMBIA,SOCIAL_COLOMBIA,SOCIAL,726.68
2025-01-02,ARGENTINA,ORGANIC_ARGENTINA,ORGANIC,2295.15
2025-01-02,ARGENTINA,PAID_SEARCH_ARGENTINA,PAID_SEARCH,2114.02
2025-01-02,ARGENTINA,SOCIAL_ARGENTINA,SOCIAL,1020.97
2025-01-03,MEXICO,ORGANIC_MEXICO,ORGANIC,607.52
2025-01-03,MEXICO,PAID_SEARCH_MEXICO,PAID_SEARCH,690.46
2025-01-03,MEXICO,SOCIAL_MEXICO,SOCIAL,2875.31
2025-01-03,COLOMBIA,ORGANIC_COLOMBIA,ORGANIC,695.69
2025-01-03,COLOMBIA,PAID_SEARCH_COLOMBIA,PAID_SEARCH,603.17
2025-01-03,COLOMBIA,SOCIAL_COLOMBIA,SOCIAL,1055.99
2025-01-03,ARGENTINA,ORGANIC_ARGENTINA,ORGANIC,2303.86
2025-01-03,ARGENTINA,PAID_SEARCH_ARGENTINA,PAID_SEARCH,682.52
2025-01-03,ARGENTINA,SOCIAL_ARGENTINA,SOCIAL,1483.57
2025-01-04,MEXICO,ORGANIC_MEXICO,ORGANIC,1451.23
2025-01-04,MEXICO,PAID_SEARCH_MEXICO,PAID_SEARCH,2001.64
2025-01-04,MEXICO,SOCIAL_MEXICO,SOCIAL,1504.53
2025-01-04,COLOMBIA,ORGANIC_COLOMBIA,ORGANIC,1743.33
2025-01-04,COLOMBIA,PAID_SEARCH_COLOMBIA,PAID_SEARCH,2167.46
2025-01-04,COLOMBIA,SOCIAL_COLOMBIA,SOCIAL,2524.27
2025-01-04,ARGENTINA,ORGANIC_ARGENTINA,ORGANIC,1056.76
